AÑO;MPO;TOTAL_INDICIADOS;TOTAL_PROCESOS;TOTAL_VÍCTIMAS;trim
2010;bogota;98563,5;69821,4;8232,5;1
2010;bucaramanga;10200,0;6537,3;944,2;1
2010;cali;23406,0;17923,8;3947,5;1
2010;medellin;32243,5;24949,5;5822,8;1
2010;pasto;6358,0;4504,5;1847,2;1
2011;bogota;100208,5;67319,7;7562,5;1
2011;bucaramanga;11941,5;7211,4;1052,9;1
2011;cali;24391,5;18987,0;4267,1;1
2011;medellin;35176,0;27509,1;6629,8;1
2011;pasto;7201,5;5296,8;1425,2;1
2012;bogota;110604,0;67839,3;6926,6;1
2012;bucaramanga;11877,0;7096,8;1246,2;1
2012;cali;25639,5;19242,899999999998;4606,1;1
2012;medellin;35331,0;26862,0;5891,400000000001;1
2012;pasto;7907,5;5777,4;1620,5;1
2013;bogota;104511,0;70337,7;7309,8;1
2013;bucaramanga;11246,5;7552,5;1217,3;1
2013;cali;28895,0;20763,0;5038,5;1
2013;medellin;36727,5;26322,6;5691,200000000001;1
2013;pasto;9228,0;6320,4;1900,5;1
2014;bogota;102222,0;72190,8;8748,0;1
2014;bucaramanga;12140,5;8091,9;1237,1000000000001;1
2014;cali;26150,0;19426,8;5138,400000000001;1
2014;medellin;35012,0;26457,6;6272,1;1
2014;pasto;9223,5;6318,599999999999;1872,4;1
2015;bogota;102347,0;73460,09999999999;9896,6;1
2015;bucaramanga;12880,0;8536,199999999999;1260,3000000000002;1
2015;cali;23695,5;17943,899999999998;5006,200000000001;1
2015;medellin;37437,0;26701,2;6353,6;1
2015;pasto;12865,0;6558,3;1978,8000000000002;1
2016;bogota;104537,0;75814,5;11973,900000000001;1
2016;bucaramanga;14725,5;9165,9;1359,7;1
2016;cali;23819,0;18414,0;5275,900000000001;1
2016;medellin;39136,0;26697,0;6287,5;1
2016;pasto;9385,5;6707,7;1927,7;1
2017;bogota;107550,0;87949,2;16483,100000000002;1
2017;bucaramanga;12887,0;8319,0;1544,3000000000002;1
2017;cali;26499,0;20360,1;6172,200000000001;1
2017;medellin;39102,5;28023,6;6658,1;1
2017;pasto;9915,5;7459,799999999999;1903,7;1
2018;bogota;114086,0;103428,9;23312,300000000003;1
2018;bucaramanga;10616,5;7746,299999999999;1785,8000000000002;1
2018;cali;29743,0;23031,0;7294,0;1
2018;medellin;38832,0;30829,5;7699,5;1
2018;pasto;9171,5;6523,2;1707,3000000000002;1
2019;bogota;113052,0;111855,59999999999;28691,300000000003;1
2019;bucaramanga;10416,5;7826,099999999999;1918,4;1
2019;cali;29952,5;25823,399999999998;9031,5;1
2019;medellin;37253,0;33247,5;8935,300000000001;1
2019;pasto;8240,0;6354,599999999999;1965,2;1
2020;bogota;89041,5;89247,0;19925,9;1
2020;bucaramanga;8021,5;6500,7;1496,9;1
2020;cali;20347,5;19413,6;5991,6;1
2020;medellin;29017,0;25550,399999999998;6281,5;1
2020;pasto;5983,5;4395,599999999999;1228,9;1
2021;bogota;98949,0;108332,4;29847,4;1
2021;bucaramanga;10601,5;8236,8;2660,4;1
2021;cali;28332,5;25090,8;15816,900000000001;1
2021;medellin;32319,5;29748,3;10059,400000000001;1
2021;pasto;6461,0;5198,4;1650,6000000000001;1
2022;bogota;117168,5;129128,4;41722,9;1
2022;bucaramanga;9461,5;9272,699999999999;2764,8;1
2022;cali;26399,0;28506,6;26736,800000000003;1
2022;medellin;34742,5;36841,799999999996;13288,7;1
2022;pasto;7508,0;6528,599999999999;2218,6;1
2023;bogota;99622,0;124299,0;38894,8;1
2023;bucaramanga;7916,0;8658,9;2467,4;1
2023;cali;17507,0;24850,8;11737,2;1
2023;medellin;27042,0;33069,9;10684,900000000001;1
2023;pasto;5865,0;6393,0;2101,7000000000003;1
2010;bogota;39425,4;23273,800000000003;24697,5;2
2010;bucaramanga;4080,0;2179,1;2832,6;2
2010;cali;9362,4;5974,6;11842,5;2
2010;medellin;12897,400000000001;8316,5;17468,399999999998;2
2010;pasto;2543,2000000000003;1501,5;5541,599999999999;2
2011;bogota;40083,4;22439,9;22687,5;2
2011;bucaramanga;4776,6;2403,8;3158,7;2
2011;cali;9756,6;6329,0;12801,3;2
2011;medellin;14070,400000000001;9169,7;19889,399999999998;2
2011;pasto;2880,6000000000004;1765,6000000000001;4275,599999999999;2
2012;bogota;44241,600000000006;22613,100000000002;20779,8;2
2012;bucaramanga;4750,8;2365,6;3738,6;2
2012;cali;10255,800000000001;6414,3;13818,3;2
2012;medellin;14132,400000000001;8954,0;17674,2;2
2012;pasto;3163,0;1925,8000000000002;4861,5;2
2013;bogota;41804,4;23445,9;21929,399999999998;2
2013;bucaramanga;4498,6;2517,5;3651,9;2
2013;cali;11558,0;6921,0;15115,5;2
2013;medellin;14691,0;8774,2;17073,6;2
2013;pasto;3691,2000000000003;2106,8;5701,5;2
2014;bogota;40888,8;24063,600000000002;26244,0;2
2014;bucaramanga;4856,2;2697,3;3711,2999999999997;2
2014;cali;10460,0;6475,6;15415,199999999999;2
2014;medellin;14004,800000000001;8819,2;18816,3;2
2014;pasto;3689,4;2106,2000000000003;5617,2;2
2015;bogota;40938,8;24486,7;29689,8;2
2015;bucaramanga;5152,0;2845,4;3780,8999999999996;2
2015;cali;9478,2;5981,3;15018,599999999999;2
2015;medellin;14974,800000000001;8900,4;19060,8;2
2015;pasto;5146,0;2186,1;5936,4;2
2016;bogota;41814,8;25271,5;35921,7;2
2016;bucaramanga;5890,200000000001;3055,3;4079,1;2
2016;cali;9527,6;6138,0;15827,699999999999;2
2016;medellin;15654,400000000001;8899,0;18862,5;2
2016;pasto;3754,2000000000003;2235,9;5783,099999999999;2
2017;bogota;43020,0;29316,4;49449,299999999996;2
2017;bucaramanga;5154,8;2773,0;4632,9;2
2017;cali;10599,6;6786,700000000001;18516,6;2
2017;medellin;15641,0;9341,2;19974,3;2
2017;pasto;3966,2000000000003;2486,6000000000004;5711,099999999999;2
2018;bogota;45634,4;34476,3;69936,9;2
2018;bucaramanga;4246,6;2582,1000000000004;5357,4;2
2018;cali;11897,2;7677,0;21882,0;2
2018;medellin;15532,800000000001;10276,5;23098,5;2
2018;pasto;3668,6000000000004;2174,4;5121,9;2
2019;bogota;45220,8;37285,200000000004;86073,9;2
2019;bucaramanga;4166,6;2608,7000000000003;5755,2;2
2019;cali;11981,0;8607,800000000001;27094,5;2
2019;medellin;14901,2;11082,5;26805,899999999998;2
2019;pasto;3296,0;2118,2000000000003;5895,599999999999;2
2020;bogota;35616,6;29749,0;59777,7;2
2020;bucaramanga;3208,6000000000004;2166,9;4490,7;2
2020;cali;8139,0;6471,200000000001;17974,8;2
2020;medellin;11606,800000000001;8516,800000000001;18844,5;2
2020;pasto;2393,4;1465,2;3686,7;2
2021;bogota;39579,600000000006;36110,8;89542,2;2
2021;bucaramanga;4240,6;2745,6000000000004;7981,2;2
2021;cali;11333,0;8363,6;47450,7;2
2021;medellin;12927,800000000001;9916,1;30178,199999999997;2
2021;pasto;2584,4;1732,8000000000002;4951,8;2
2022;bogota;46867,4;43042,8;125168,7;2
2022;bucaramanga;3784,6000000000004;3090,9;8294,4;2
2022;cali;10559,6;9502,2;80210,4;2
2022;medellin;13897,0;12280,6;39866,1;2
2022;pasto;3003,2000000000003;2176,2000000000003;6655,8;2
2023;bogota;39848,8;41433,0;116684,4;2
2023;bucaramanga;3166,4;2886,3;7402,2;2
2023;cali;7002,8;8283,6;35211,6;2
2023;medellin;10816,800000000001;11023,300000000001;32054,699999999997;2
2023;pasto;2346,0;2131,0;6305,099999999999;2
2010;bogota;39425,4;93095,20000000001;32930,0;3
2010;bucaramanga;4080,0;8716,4;3776,8;3
2010;cali;9362,4;23898,4;15790,0;3
2010;medellin;12897,400000000001;33266,0;23291,2;3
2010;pasto;2543,2000000000003;6006,0;7388,8;3
2011;bogota;40083,4;89759,6;30250,0;3
2011;bucaramanga;4776,6;9615,2;4211,6;3
2011;cali;9756,6;25316,0;17068,4;3
2011;medellin;14070,400000000001;36678,8;26519,2;3
2011;pasto;2880,6000000000004;7062,400000000001;5700,8;3
2012;bogota;44241,600000000006;90452,40000000001;27706,4;3
2012;bucaramanga;4750,8;9462,4;4984,8;3
2012;cali;10255,800000000001;25657,2;18424,4;3
2012;medellin;14132,400000000001;35816,0;23565,600000000002;3
2012;pasto;3163,0;7703,200000000001;6482,0;3
2013;bogota;41804,4;93783,6;29239,2;3
2013;bucaramanga;4498,6;10070,0;4869,2;3
2013;cali;11558,0;27684,0;20154,0;3
2013;medellin;14691,0;35096,8;22764,800000000003;3
2013;pasto;3691,2000000000003;8427,2;7602,0;3
2014;bogota;40888,8;96254,40000000001;34992,0;3
2014;bucaramanga;4856,2;10789,2;4948,400000000001;3
2014;cali;10460,0;25902,4;20553,600000000002;3
2014;medellin;14004,800000000001;35276,8;25088,4;3
2014;pasto;3689,4;8424,800000000001;7489,6;3
2015;bogota;40938,8;97946,8;39586,4;3
2015;bucaramanga;5152,0;11381,6;5041,200000000001;3
2015;cali;9478,2;23925,2;20024,800000000003;3
2015;medellin;14974,800000000001;35601,6;25414,4;3
2015;pasto;5146,0;8744,4;7915,200000000001;3
2016;bogota;41814,8;101086,0;47895,600000000006;3
2016;bucaramanga;5890,200000000001;12221,2;5438,8;3
2016;cali;9527,6;24552,0;21103,600000000002;3
2016;medellin;15654,400000000001;35596,0;25150,0;3
2016;pasto;3754,2000000000003;8943,6;7710,8;3
2017;bogota;43020,0;117265,6;65932,40000000001;3
2017;bucaramanga;5154,8;11092,0;6177,200000000001;3
2017;cali;10599,6;27146,800000000003;24688,800000000003;3
2017;medellin;15641,0;37364,8;26632,4;3
2017;pasto;3966,2000000000003;9946,400000000001;7614,8;3
2018;bogota;45634,4;137905,2;93249,20000000001;3
2018;bucaramanga;4246,6;10328,400000000001;7143,200000000001;3
2018;cali;11897,2;30708,0;29176,0;3
2018;medellin;15532,800000000001;41106,0;30798,0;3
2018;pasto;3668,6000000000004;8697,6;6829,200000000001;3
2019;bogota;45220,8;149140,80000000002;114765,20000000001;3
2019;bucaramanga;4166,6;10434,800000000001;7673,6;3
2019;cali;11981,0;34431,200000000004;36126,0;3
2019;medellin;14901,2;44330,0;35741,200000000004;3
2019;pasto;3296,0;8472,800000000001;7860,8;3
2020;bogota;35616,6;118996,0;79703,6;3
2020;bucaramanga;3208,6000000000004;8667,6;5987,6;3
2020;cali;8139,0;25884,800000000003;23966,4;3
2020;medellin;11606,800000000001;34067,200000000004;25126,0;3
2020;pasto;2393,4;5860,8;4915,6;3
2021;bogota;39579,600000000006;144443,2;119389,6;3
2021;bucaramanga;4240,6;10982,400000000001;10641,6;3
2021;cali;11333,0;33454,4;63267,600000000006;3
2021;medellin;12927,800000000001;39664,4;40237,600000000006;3
2021;pasto;2584,4;6931,200000000001;6602,400000000001;3
2022;bogota;46867,4;172171,2;166891,6;3
2022;bucaramanga;3784,6000000000004;12363,6;11059,2;3
2022;cali;10559,6;38008,8;106947,20000000001;3
2022;medellin;13897,0;49122,4;53154,8;3
2022;pasto;3003,2000000000003;8704,800000000001;8874,4;3
2023;bogota;39848,8;165732,0;155579,2;3
2023;bucaramanga;3166,4;11545,2;9869,6;3
2023;cali;7002,8;33134,4;46948,8;3
2023;medellin;10816,800000000001;44093,200000000004;42739,600000000006;3
2023;pasto;2346,0;8524,0;8406,800000000001;3
2010;bogota;19712,7;46547,600000000006;16465,0;4
2010;bucaramanga;2040,0;4358,2;1888,4;4
2010;cali;4681,2;11949,2;7895,0;4
2010;medellin;6448,700000000001;16633,0;11645,6;4
2010;pasto;1271,6000000000001;3003,0;3694,4;4
2011;bogota;20041,7;44879,8;15125,0;4
2011;bucaramanga;2388,3;4807,6;2105,8;4
2011;cali;4878,3;12658,0;8534,2;4
2011;medellin;7035,200000000001;18339,4;13259,6;4
2011;pasto;1440,3000000000002;3531,2000000000003;2850,4;4
2012;bogota;22120,800000000003;45226,200000000004;13853,2;4
2012;bucaramanga;2375,4;4731,2;2492,4;4
